AIRCRAFT,DATE,REGION/OPERATING GROUP,CITY OF PURCHASE,FUEL CO.,METHOD OF PAYMENT,TOTAL LITRES,PRICE/LITRE INCLUDING PROVINCIAL & FEDERAL FUEL TAXES (CAD $),EXTENDED COST (CAD $)
C-GSUR,9/30/2019,VANCOUVER (GP),INUVIK,APS INUVIK AIRPORT,GAC,3063.8,2.019599843,6187.65
C-GSUR,10/29/2019,VANCOUVER (GP),RICHMOND,EXECUTIVE AIRCRAFT,ACCOUNT,4973,0.868499899,4319.05
C-GCIV,10/4/2019,"VICTORIA, BC",INUVIK,APS INUVIK AIRPORT,DD,999,2.003603604,2001.6
C-GCIV,10/14/2019,"VICTORIA, BC",LA RONGE,SHELL AVIATION,NFPP,482.6,1.106299213,533.9
C-GCIV,10/15/2019,"VICTORIA, BC",WINNIPEG,FASTAIR JET CENTRE,DD,318,1.33,422.94
C-GCIV,10/15/2019,"VICTORIA, BC",MOUNT HOPE,WORLD FUEL SERVICES,NFPP,543,1.004143646,545.25
C-GCIV,10/14/2019,"VICTORIA, BC",FORT MCMURRAY,EXECUTIVE FLIGHT CENTRE,NFPP,562.1,0.970983811,545.79
C-GCIV,10/15/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,400,1.576425,630.57
C-GCIV,10/10/2019,"VICTORIA, BC",UNALAKLEET AK,WEST COAST AVIATION SERIVCE,GAC,383.08,2.396888378,918.2
C-GCIV,10/11/2019,"VICTORIA, BC",MCGRATH AK,NORTHERN PETROLEUM SERVICES,GAC,483.28,2.561103294,1237.73
C-GCIV,10/11/2019,"VICTORIA, BC",ANCHORAGE AK,ILIAMNA DEVELOPMENT CORP,GAC,443.73,1.653640727,733.77
C-GCIV,10/12/2019,"VICTORIA, BC",YAKUTAT AK,YAKUTAT AVIATION SERVICES,GAC,446.68,1.932233366,863.09
C-GCIV,10/12/2019,"VICTORIA, BC",CORDOVA AK,CORDOVA AIR SERVICE,GAC,335.39,2.09031277,701.07
C-GCIV,10/12/2019,"VICTORIA, BC",ANCHORAGE AK,"CROWLEY FUELS, CPD MERRILL MAIN",GAC,438.463,1.479030158,648.5
C-GCIV,10/15/2019,"VICTORIA, BC",MARATHON,MUNITIPAL AIRPORT MARATHON ,GAC,574.5,2.047624021,1176.36
C-GCIV,10/13/2019,"VICTORIA, BC",WHITEHORSE,NORTH 60 PETRO LTD,"PERSONAL CREDIT CARD, GAC BLOCKED BY FRAUD SUSPICION",264.28,1.144732859,302.53
C-GCIV,10/13/2019,"VICTORIA, BC",WATSON LAKE,PACE SETTER FUEL,"PERSONAL CREDIT CARD, GAC BLOCKED BY FRAUD SUSPICION",427.87,1.742842452,745.71
C-GCIV,10/13/2019,"VICTORIA, BC",FORT NELSON,SKY NORTH AVIATION,"PERSONAL CREDIT CARD, GAC BLOCKED BY FRAUD SUSPICION",475,1.55,736.25
C-GCIV,10/14/2019,"VICTORIA, BC",DAUGHIN,DAUGHIN REGIONAL AIRPORT,"PERSONAL CREDIT CARD, GAC BLOCKED BY FRAUD SUSPICION",600,1.38095,828.57
C-GCIV,10/14/2019,"VICTORIA, BC",HIGH LEVEL,HIGH LEVEL AIRPORT YOJ,"PERSONAL CREDIT CARD, GAC BLOCKED BY FRAUD SUSPICION",380,1.42,539.6
C-GCPV,9/19/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,373,1.429383378,533.16
C-GCPV,9/10/2019,"VICTORIA, BC",GOLD RIVER,E & B HELICOPTERS,DD,355,1.6,568
C-GCPV,9/30/2019,"VICTORIA, BC",CAMPBELL RIVER,CITY OF C.R.,GAC,366.7,1.6,586.72
C-GCPV,10/3/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES, NFPP,627,1.492344498,935.7
C-GCPV,9/19/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,753,1.429561753,1076.46
C-GCPV,10/19/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,886,1.45738149,1291.24
C-GCPV,10/19/2019,"VICTORIA, BC",VICTORIA,PACIFIC HELIPORT SERVICES,GAC,1197,1.65,1975.05
C-GCPV,10/2/2019,"VICTORIA, BC",MASSET,MASSET MUNICIPAL AIRPORT,GAC,388.5,1.567696268,609.05
C-GCPV,10/9/2019,"VICTORIA, BC",MASSET,MASSET MUNICIPAL AIRPORT,GAC,187,1.567700535,293.16
C-GCPV,10/23/2019,"VICTORIA, BC",UCLUELET,LONG BEACH ENTERPRISES,GAC,1262.12,1.8104761,2285.038095
C-GCPV,10/18/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,GAC,530,1.447301887,767.07
C-GCPV,10/9/2019,"VICTORIA, BC",SANDSPIT,WESTHAWK AVIATION,GAC,418.2,1.808703969,756.4
C-GCPV,10/21/2019,"VICTORIA, BC",VICTORIA,PACIFIC HELIPORT SERVICES,GAC,600,1.65,990
C-GCPV,10/28/2019,"VICTORIA, BC",CAMPBELL RIVER,CITY OF CAMPBELL RIVER,GAC,1906.9,1.6,3051.04
C-GCPV,10/8/2019,"VICTORIA, BC",DENNY ISLAND,SHEARWATER,GAC,380,1.95,741
C-GCQR,10/18/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,443,1.456343115,645.16
C-GCQR,10/25/2019,"VICTORIA, BC",UCLUELET,LONG BEACH ENTERPRISES,GAC,525.74,1.810473038,951.8380952
C-GCQR,10/18/2019,"VICTORIA, BC",QUALICUM BEACH,QUALICUM BEACH,GAC,300,1.438095238,431.4285714
C-GCQR,10/22/2019,"VICTORIA, BC",UCLUELET,LONG BEACH ENTERPRISES,GAC,1420.04,1.81047214,2570.942857
C-GCQR,10/25/2019,"VICTORIA, BC",VICTORIA,PACIFIC HELIPORT SERVICES,GAC,1671,1.65,2757.15
C-GCQR,10/10/2019,"VICTORIA, BC",QUALICUM BEACH,QUALICUM BEACH,GAC,379.75,1.438088968,546.1142857
C-GCQR,10/29/2019,"VICTORIA, BC",VICTORIA,PACIFIC HELIPORT SERVICES,GAC,171,1.65,282.15
C-GCQR,10/31/2019,"VICTORIA, BC",QUALICUM BEACH,QUALICUM BEACH,GAC,532.36,1.438106688,765.5904762
C-GCKQ,9/19/2019,"VICTORIA, BC",GOLD RIVER,E & B HELICOPTERS,DD,600,1.6,960
C-GCKQ,10/1/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,288,1.501840278,432.53
C-GCKQ,10/8/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,737,1.420569878,1046.96
C-GCKQ,10/8/2019,"VICTORIA, BC",CAMPBELL RIVER,CITY OF CAMPBELL RIVER,GAC,228.2,1.6,365.12
C-GCKQ,10/11/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,708,1.431567797,1013.55
C-GCKQ,10/24/2019,"VICTORIA, BC",PORT HARDY,WORLD FUEL SERVICES,NFPP,1615,1.432142415,2312.91
C-GCKQ,10/22/2019,"VICTORIA, BC",UCLUELET,LONG BEACH ENTERPRISES,GAC,1832.98,1.810478799,3318.571429
C-GCKQ,10/25/2019,"VICTORIA, BC",VICTORIA,PACIFIC HELIPORT,GAC,2272,1.65,3748.8
C-GCKQ,10/11/2019,"VICTORIA, BC",Ucluelet,LONG BEACH ENTERPRISES,GAC,1789.82,1.81047735,3240.428571
C-FMFM,10/1/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,1358.8,1.35,1834.38
C-FMFM,10/1/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,679.8,1.35,917.73
C-FLZA,10/7/2019,"WINNIPEG, MB",SASKATOON,SHELL CANADA PRODUCTS,CONTRACT,1140.5,0.884498027,1008.77
C-FLZA,10/7/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,900.1,1.350005555,1215.14
C-FLZA,10/8/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,1198.7,1.350004171,1618.25
C-FLZA,10/8/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,1139.6,1.35,1538.46
C-FLZA,10/16/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,585.3,1.350008543,790.16
C-FLZA,10/16/2019,"WINNIPEG, MB",REGINA,SHELL CANADA PRODUCTS,CONTRACT,1578.9,0.859402115,1356.91
C-FLZA,10/17/2019,"WINNIPEG, MB",SASKATOON,SHELL CANADA PRODUCTS,CONTRACT,1001.1,0.869303766,870.26
C-FLZA,10/17/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,241.2,1.35,325.62
C-FLZA,10/17/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,1469.7,1.350003402,1984.1
C-FMFM,10/21/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,629.7,1.35000794,850.1
C-FLZA,10/21/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,1359.6,1.35,1835.46
C-FLZA,10/21/2019,"WINNIPEG, MB",OTTAWA,SHELL CANADA PRODUCTS,CONTRACT,1600.7,0.953008059,1525.48
C-FLZA,10/24/2019,"WINNIPEG, MB",REGINA,SHELL CANADA PRODUCTS,CONTRACT,800,0.8528,682.24
C-FMFM,10/25/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,1335,1.35,1802.25
C-FLZA,10/24/2019,"WINNIPEG, MB",WINNIPEG,FAST AIR JET CENTRE,CONTRACT,1395.8,1.35,1884.33
C-FLZA,10/25/2019,"WINNIPEG, MB",OTTAWA,SHELL CANADA PRODUCTS,CONTRACT,1835.4,0.949700338,1743.08
C-FLZA,10/25/2019,"WINNIPEG, MB",THUNDERBAY,SHELL CANADA PRODUCTS,CONTRACT,1600,0.9699,1551.84
C-FLZA,10/31/2019,"WINNIPEG, MB",WINNIPEG,SHELL CANADA PRODUCTS,CONTRACT,459.8,1.35,620.73
C-FLZA,10/31/2019,"WINNIPEG, MB",WINNIPEG,SHELL CANADA PRODUCTS,CONTRACT,746.6,1.35,1007.91
